annual_gwh,latitude,longitude,altitude
9.0,56.282002,-4.93,393.1
270.0,46.56804,15.60415,272.0
323.0,65.476969,15.856519,385.8
100.0,41.6428,24.153000000000002,1194.9
8.0,57.382,-4.881,698.0
137.6,40.9871,-7.5353,535.4
248.16,64.75,26.416666999999997,81.0
260.0,46.55874,15.445110000000001,575.5
848.0,38.890417,21.499582999999998,268.3
1720.0,66.503203,20.380167,213.8
247.0,46.59257,15.15301,332.7
230.4,45.2989,15.2633,202.8
210.0,64.57875,26.76625,118.0
230.0,46.15987118895001,5.975348600465,336.2
5254.0,44.673,22.531999999999996,53.4
256.7,41.7686,-7.9504,714.6
69.0,44.622793,22.641357,53.3
620.0,43.013999999999996,17.802999,4.6
106.0,44.177917,24.48375,74.0
104.0,44.045417,24.57125,64.0
98.0,44.26625,24.400417,89.0
101.0,43.81625,24.69625,37.0
103.0,43.920417,24.625417000000002,50.0
1700.0,46.05271,5.81285,328.0
1000.0,46.419899900000004,6.9287696,420.0
130.0,45.162083,22.732917,671.2
173.0,44.537083,24.325417,134.0
217.0,41.98756111,20.52793889,900.6
230.0,42.01168611,19.55194167,14.0
12.0,56.699001,-4.408,269.2
161.0,45.89888,15.5882,141.0
1390.0,46.804819733900004,10.331344182999901,1140.2
112.0,41.91922,24.19305,1154.5
23.0,59.54375,13.299582999999998,62.0
132.7,45.820784506939795,10.527069568634,379.0
134.0,45.120416999999996,24.375417000000002,247.5
152.6,47.651451,10.735525,791.3
1031.0,50.3717154,5.8703455,254.1
1016.0,56.9460041154056,24.1058921813965,4.6
12.0,56.282002,-4.93,393.1
140.0,44.682916999999996,24.292082999999998,145.0
165.0,45.012083000000004,24.29625,208.3
115.0,46.337083,27.04625,122.0
80.0,46.727083,23.29625,520.0
7.5,41.51,-8.16,417.0
153.2,39.854,-8.2197,145.5
99.897,39.9622222,9.5055556,693.0
110.0,46.187083,27.18375,108.0
82.92,45.3485,15.3452,167.8
231.2,41.41,-8.5,123.0
205.0,64.717559,18.242239,269.4
612.0,46.0508221655,6.94899701138,1124.5
122.0,45.495416999999996,26.250417,534.0
63.8,39.5649,-7.8123,89.3
2350.0,46.5680720667,8.31932651704,1942.2
48.7,40.5316,-7.3297,698.1
700.0,44.47095,6.26967,739.0
100.0,59.386351,13.569723000000002,50.0
88.0,58.986325,14.106716,59.2
250.0,61.489481999999995,16.381977,115.9
151.0,45.701758,7.2079,690.6
4.0,56.699001,-4.408,269.2
148.0,45.99027,15.381829999999999,165.2
146.0,45.97461,15.48091,163.5
89.0,42.9474,-0.2179,903.2
90.0,42.9842,-0.1428,723.3
102.0,42.9929,-0.0998,595.9
270.0,42.87024,-0.01209,677.5
24.9,46.176359000000005,9.982128999999999,478.1
2.2,46.150244,9.818458999999999,327.3
18.36,46.159346,9.930337,298.9
75.0,46.159440000000004,9.929995,297.0
128.0,46.160817,10.086202,374.0
104.0,46.171155999999996,10.06145,834.7
148.9,46.161206,10.352905,647.4
48.0,46.827532,11.169127,933.4
666.6658,58.29373399999999,6.453253,102.2
31.11,58.348278,6.964347999999999,57.4
184.6935,58.244885,7.515696000000001,86.9
4357.37,58.65815500000001,6.728166000000001,190.6
152.3353,58.659909999999996,6.698752000000001,57.6
346.9117,58.405781999999995,7.523531,202.3
293.7408,58.505942000000005,7.417103999999999,211.2
144.5292,58.669051,7.450991999999999,337.2
101.0913,58.76468199999999,6.36841,315.7
317.7538,59.01098100000001,6.4451279999999995,629.5
1303.059,59.054051,6.61583,226.5
809.6342,58.77569200000001,7.0129649999999994,719.5
258.675,58.935618000000005,7.088094,897.3
135.5806,59.026672999999995,7.089142999999999,914.4
119.2443,58.763639000000005,7.51007,370.6
68.6171,58.983853,7.67232,315.6
186.3583,58.25351800000001,7.958415,14.2
141.5,58.265174,7.966342,30.4
542.2186,58.300155000000004,7.967539,60.3
172.5795,58.356703,7.904827,100.8
501.2,58.390377,7.894692,122.6
126.351,58.530437,8.334303,129.8
123.4488,58.542919999999995,8.673607,47.1
419.0624,58.596229,8.716275999999999,62.8
104.9062,68.090128,17.716649,799.1
212.1743,58.906296999999995,8.22607,309.3
173.1927,58.951933999999994,8.394045,266.7
139.2271,58.951595999999995,8.517097,166.0
89.4214,59.657665,6.096469,202.7
46.2489,59.657561,6.0963389999999995,201.8
416.4952,59.874602,6.073857,621.5
146.9,60.384643000000004,5.806851999999999,33.3
62.6539,59.314015000000005,6.621668,726.2
584.6973,59.353128000000005,7.2478169999999995,913.6
246.6902,59.353127,7.247782000000001,913.8
1555.6070000000002,59.12481,7.5063,312.8
239.8988,59.687515000000005,6.521502,355.3
3611.467,59.526993999999995,6.658841000000001,334.5
946.5079,59.555761,6.598419,374.4
1077.896,59.651863,6.8245119999999995,240.5
771.5302,59.651863,6.8245119999999995,240.5
173.3778,59.690493999999994,6.570213000000001,555.7
66.941,59.930932999999996,6.197613,737.1
239.6537,59.831860999999996,6.881373,679.9
903.5,59.818537,6.818575999999999,570.5
42.2495,59.850283999999995,6.962739,1141.3
588.6658,59.779587,7.7288179999999995,838.4
1145.972,60.127577,6.337427,334.6
972.9718,60.125942,6.568911,556.4
1068.9560000000001,60.129931000000006,6.641964999999999,524.3
132.1838,60.132948999999996,6.6280850000000004,418.0
101.8965,59.363499,8.052367,402.4
135.126,59.21679,8.451891999999999,255.5
67.5103,59.356167000000006,8.177044,251.7
218.8306,59.30235,9.203938,59.9
97.0593,59.297123,9.219933000000001,34.0
478.2516,59.49854499999999,8.633632,139.1
425.2527,59.608253000000005,8.713219,289.0
424.0959,59.58120400000001,9.25728,93.7
190.9641,59.568963000000004,9.26405,36.0
175.4352,59.658549,9.207749,128.3
103.3687,59.686023,9.142329,162.7
186.5,59.825846999999996,8.345667,871.1
953.033,59.869440000000004,8.493679,674.3
185.6011,59.919989,8.777644,280.6
62.7783,59.939501,9.339152,193.9
215.5707,60.049487,9.199798,240.0
239.0206,60.243793999999994,8.701658,905.7
152.2665,60.257442000000005,8.92642,486.3
758.809,60.267223,8.959338,371.0
183.3928,59.207785,9.528108999999999,8.6
92.117,59.198381000000005,9.609542,6.6
392.7904,59.621986,9.667983,144.8
65.5124,59.657714,9.651615,135.9
59.6236,59.721146999999995,9.594435,169.1
135.3,59.474488,10.004542,51.8
58.6772,59.862852000000004,9.384991000000001,184.0
81.22,59.787085,9.900813000000001,5.0
335.0,59.902164,9.925332000000001,25.1
75.2919,59.928858999999996,9.963443,59.4
189.8074,60.084174,9.816174,153.4
119.8912,60.169989,10.254480000000001,78.8
141.4353,60.185024,10.241127,99.3
46.6894,60.19444,10.322431,84.9
64.1947,60.58251800000001,5.54282,23.8
664.4060000000001,60.581954,5.823857,272.9
165.053,60.581956000000005,5.8844330000000005,430.6
93.831,60.554264,6.029859,694.4
817.8172,60.872580000000006,5.594089,101.9
755.6,60.923999,5.98594,421.1
57.2289,60.960654000000005,5.702609,489.7
113.0012,61.716661,5.236697,43.0
59.3099,61.43568199999999,5.915368,25.1
42.7655,61.61468000000001,5.678051,66.2
110.3411,60.55784,6.211286,593.8
1350.9820000000002,60.662251,6.118739,510.5
45.99,60.738548,6.261966,813.5
2158.1910000000003,60.50696800000001,7.140933,650.6
1366.141,60.507420999999994,7.1407050000000005,674.0
92.90799999999999,60.575844999999994,6.921271000000001,195.6
455.1265,61.021374,6.5676619999999994,352.6
390.926,61.068274,6.581861999999999,153.7
112.2034,60.901828,7.178971000000001,174.5
227.4592,60.804331000000005,7.378572,1074.7
2508.2529999999997,60.8525,7.300704,900.6
197.7,61.05021,7.643941000000001,222.0
107.0703,61.218821,6.063636,16.3
