,id,gwh_per_mm3,latitude,longitude,type,rainfall,avg daily temp,min daily temp,max daily temp,sea level pressure,global radiation
158,H519,0.33969118982742963,65.095,17.101667000000006,HDAM,1.5284931783806788,1.1487945024485458,-3.560986222627841,5.571972496577934,1008.5191921286387,90.04383561643836
159,H520,2.1875,62.3833333,17.3166667,HDAM,1.8095890748990726,4.827342360507544,1.2814794187625385,8.608794309459116,1009.2246724167916,97.93972602739726
160,H529,0.6385390428211587,46.175999,8.684,HDAM,3.314794578780867,9.727588833332675,6.296712176828351,13.48205449918974,1017.9126162176262,156.42191780821918
161,H53,3.3823529411764706,45.446999,23.768,HDAM,1.9605479704190607,5.324164289593289,1.216082159817627,9.577780614252369,1017.0909743217572,156.62465753424658
162,H530,32.083333333333336,64.9687,17.54421,HDAM,1.5117808505280377,1.2249862695291434,-3.3073149951710685,5.544794377893822,1008.5287786614405,89.9013698630137
163,H531,17.97979797979798,65.40360600000001,18.673154,HDAM,1.6435616746340713,0.8012602481174551,-3.4369314191582268,4.83342457025835,1008.320287417059,91.08767123287672
164,H549,9.232323232323234,66.155998,25.125,HDAM,1.33890412555982,2.03734242808431,-2.055534194736448,5.873260128278642,1008.7526161507384,94.88493150684931
165,H558,4.168295331161779,41.4,-7.59,HDAM,1.2589041278786854,14.426931194001682,8.520903904128769,21.001944707191154,1019.1753571810788,180.44383561643835
166,H566,4.156684733514012,45.2286,14.6736,HDAM,4.503835707821258,10.833205202961825,5.8579176775804935,16.43695850839762,1017.9833001123716,157.3123287671233
167,H57,0.5782608695652174,42.243999,20.014999,HDAM,2.9364383973487436,12.25580794274909,6.491342313363128,18.175287247030703,1016.2265867468429,171.53424657534248
168,H576,1.1791907514450868,59.049013,17.465807,HDAM,1.7841096278739301,7.492684777167766,4.078356073347673,11.163040866917127,1010.5805607207834,112.0986301369863
169,H578,0.8333333333333334,62.53208299999999,13.092083,HDAM,1.5805479758406338,1.1317260036576693,-2.8048492952364765,5.34279442531095,1009.247686851188,92.05753424657534
170,H590,2.1836734693877546,66.706406,19.516481,HDAM,1.7572602964427373,-0.12424657548433297,-4.967040997192468,4.640273877018935,1007.9893293824914,89.6109589041096
